DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
SEA,YVR,Vancouver,Canada,01-Jun,14-Jun,539,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,YYC,Calgary,Canada,01-Jun,14-Jun,566,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,VIX,Vitória,Brazil,01-Jun,14-Jun,567,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,YEG,Edmonton,Canada,01-Jun,14-Jun,706,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,GEG,Spokane,United States,01-Jun,14-Jun,603,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,YLW,Kelowna,Canada,01-Jun,14-Jun,566,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,KTN,Ketchikan,United States,01-Jun,14-Jun,1090,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,YXE,Saskatoon,Canada,01-Jun,14-Jun,654,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,BLI,Bellingham,United States,01-Jun,14-Jun,833,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
SEA,YKA,Kamloops,Canada,01-Jun,14-Jun,654,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTAxagcIARIDU0VBcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeRK3-KcNkxAEeoysgrxu1nAEhIJJby7w7KmR0ARdRlZhbCKYcA&hl=pt&curr=BRL
