DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
YYC,GOH,Nuuk,Greenland,14-Jun,26-Jun,5092,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,JAV,Ilulissat,Greenland,14-Jun,26-Jun,9421,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YFB,Iqaluit,Canada,14-Jun,26-Jun,4729,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,KUL,Kulusuk,Unknown,14-Jun,26-Jun,6165,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YCB,Cambridge Bay,Canada,14-Jun,26-Jun,5090,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YRT,Rankin Inlet,Canada,14-Jun,26-Jun,6849,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YIO,Pond Inlet,Canada,14-Jun,26-Jun,8810,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YXP,Pangnirtung,Canada,14-Jun,26-Jun,6253,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YTE,Cape Dorset,Canada,14-Jun,26-Jun,6666,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YHK,Gjoa Haven,Canada,14-Jun,26-Jun,6316,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YAB,Arctic Bay,Canada,14-Jun,26-Jun,9840,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
YYC,YGT,Igloolik,Canada,14-Jun,26-Jun,8081,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA2LTE0agcIARIDWVlDcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
