Row,City,City Name,Country,Checkin_Date,Source,Price,Air Price,# Days,Hotel Name,URL,url_flight,Final Price
3,RSA,Santa Rosa,Argentina,2027-02-07,booking,6507,2219,7,Posada Piedras Blancas,https://www.booking.com/searchresults.pt-br.html?ss=Hotel+Boutique+Posada+Piedras+Blancas%2C+Santa+Rosa%2C+La+Pampa%2C+Argentina&checkin=2027-02-07&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCQl02cp_wzvAEYDM2gcriUbAEhIJbf7U094ERMARQGbtgwWeVMA&hl=pt&curr=BRL,19821.0
4,RSA,Santa Rosa,Argentina,2027-02-06,booking,7437,2219,8,Posada Piedras Blancas,https://www.booking.com/searchresults.pt-br.html?ss=Hotel+Boutique+Posada+Piedras+Blancas%2C+Santa+Rosa%2C+La+Pampa%2C+Argentina&checkin=2027-02-06&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA2ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xMGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCQl02cp_wzvAEYDM2gcriUbAEhIJbf7U094ERMARQGbtgwWeVMA&hl=pt&curr=BRL,20751.0
2,RSA,Santa Rosa,Argentina,2027-02-06,booking,7437,2219,8,Posada Piedras Blancas,https://www.booking.com/searchresults.pt-br.html?ss=Hotel+Boutique+Posada+Piedras+Blancas%2C+Santa+Rosa%2C+La+Pampa%2C+Argentina&checkin=2027-02-06&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA2ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCQl02cp_wzvAEYDM2gcriUbAEhIJbf7U094ERMARQGbtgwWeVMA&hl=pt&curr=BRL,20751.0
13,LIM,Lima,Peru,2027-02-07,booking,7235,2285,7,"Souma Hotel, Vignette Collection by IHG",https://www.booking.com/searchresults.pt-br.html?ss=SOUMA+Hotel%2C+Vignette+Collection+by+IHG%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-07&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCQHsKGLuCitAEaPDSBt-2zPAEhIJi2D-i9vCRMARdBhpw08uZcA&hl=pt&curr=BRL,20945.0
11,LIM,Lima,Peru,2027-02-07,booking,7235,2285,7,"Souma Hotel, Vignette Collection by IHG",https://www.booking.com/searchresults.pt-br.html?ss=SOUMA+Hotel%2C+Vignette+Collection+by+IHG%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-07&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCZGt8k47jhnAEYDM2gdLnE_AEhIJZbC6RuxhK8ARQGbtg916VMA&hl=pt&curr=BRL,20945.0
12,LIM,Lima,Peru,2027-02-07,booking,7333,2285,7,Hyatt Centric San Isidro Lima,https://www.booking.com/searchresults.pt-br.html?ss=Hyatt+Centric+San+Isidro+Lima%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-07&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCTYC_QaSSSTAEdjYwED5IT_AEhIJygYyNQN2TMAR5OTn1-BoZkA&hl=pt&curr=BRL,21043.0
11,LIM,Lima,Peru,2027-02-07,booking,7333,2285,7,Hyatt Centric San Isidro Lima,https://www.booking.com/searchresults.pt-br.html?ss=Hyatt+Centric+San+Isidro+Lima%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-07&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCZGt8k47jhnAEYDM2gdLnE_AEhIJZbC6RuxhK8ARQGbtg916VMA&hl=pt&curr=BRL,21043.0
13,LIM,Lima,Peru,2027-02-07,booking,7333,2285,7,Hyatt Centric San Isidro Lima,https://www.booking.com/searchresults.pt-br.html?ss=Hyatt+Centric+San+Isidro+Lima%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-07&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xNGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCQHsKGLuCitAEaPDSBt-2zPAEhIJi2D-i9vCRMARdBhpw08uZcA&hl=pt&curr=BRL,21043.0
18,LIM,Lima,Peru,2027-02-06,booking,8178,2285,8,"Souma Hotel, Vignette Collection by IHG",https://www.booking.com/searchresults.pt-br.html?ss=SOUMA+Hotel%2C+Vignette+Collection+by+IHG%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-06&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA2ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xMGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCTYC_QaSSSTAEdjYwED5IT_AEhIJygYyNQN2TMAR5OTn1-BoZkA&hl=pt&curr=BRL,21888.0
17,LIM,Lima,Peru,2027-02-06,booking,8178,2285,8,"Souma Hotel, Vignette Collection by IHG",https://www.booking.com/searchresults.pt-br.html?ss=SOUMA+Hotel%2C+Vignette+Collection+by+IHG%2C+Lima%2C+Prov%C3%ADncia+de+Lima%2C+Peru&checkin=2027-02-06&checkout=2027-02-14&group_adults=2&no_rooms=1&group_children=&age=&selected_currency=BRL,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI3LTAyLTA2ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMi0xMGoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCZGt8k47jhnAEYDM2gdLnE_AEhIJZbC6RuxhK8ARQGbtg916VMA&hl=pt&curr=BRL,21888.0
