DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
FLN,UBA,Uberaba,Brazil,2026-04-03,Unknown,709,"26,260",17:55,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=UBA&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,POA,Porto Alegre,Brazil,2026-04-03,Unknown,824,"30,514",13:40,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=POA&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,RAO,Ribeirao Preto,Brazil,2026-04-03,Unknown,839,"31,074",4:50,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=RAO&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,UBA,Uberaba,Brazil,2026-04-01,Unknown,858,"31,794",10:15,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-01T00%3A00%3A00.000Z&destination=UBA&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,POA,Porto Alegre,Brazil,2026-04-01,Unknown,"1,064","39,394",13:40,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-01T00%3A00%3A00.000Z&destination=POA&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,ANF,Antofagasta,Chile,2026-04-03,Unknown,"1,106","40,969",10:30,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=ANF&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,CPO,Copiapo (Atacama Sul),Chile,2026-04-03,Unknown,"1,115","41,278",10:30,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=CPO&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,POA,Porto Alegre,Brazil,2026-03-31,Unknown,"1,135","42,034",15:20,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-03-31T00%3A00%3A00.000Z&destination=POA&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,COR,Cordoba (NOR),Argentina,2026-04-03,Unknown,"1,154","42,746",6:40,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=COR&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,ROS,Rosario Buenos Aires,Argentina,2026-04-01,Unknown,"1,154","42,746",8:40,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-01T00%3A00%3A00.000Z&destination=ROS&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,GYN,Goiania,Brazil,2026-04-03,Unknown,"1,164","43,114",10:15,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=GYN&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,VCP,Campinas,Brazil,2026-04-03,Unknown,"1,236","45,794",17:55,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=VCP&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,RAO,Ribeirao Preto,Brazil,2026-03-31,Unknown,"1,242","45,994",4:50,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-03-31T00%3A00%3A00.000Z&destination=RAO&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,GYN,Goiania,Brazil,2026-04-01,Unknown,"1,245","46,114",10:15,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-01T00%3A00%3A00.000Z&destination=GYN&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,GYN,Goiania,Brazil,2026-03-31,Unknown,"1,245","46,114",10:35,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-03-31T00%3A00%3A00.000Z&destination=GYN&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,ARI,Arica (Titicaca) (NOR),Chile,2026-04-03,Unknown,"1,324","49,040",10:30,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=ARI&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,ANF,Antofagasta,Chile,2026-04-01,Unknown,"1,327","49,150",10:30,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-01T00%3A00%3A00.000Z&destination=ANF&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,LSC,La Serena (CEN),Chile,2026-03-31,Unknown,"1,343","49,729",4:50,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-03-31T00%3A00%3A00.000Z&destination=LSC&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,CPO,Copiapo (Atacama Sul),Chile,2026-03-31,Unknown,"1,343","49,729",4:50,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-03-31T00%3A00%3A00.000Z&destination=CPO&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,ROS,Rosario Buenos Aires,Argentina,2026-03-31,Unknown,"1,386","51,346",15:20,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-03-31T00%3A00%3A00.000Z&destination=ROS&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,FOR,Fortaleza,Brazil,2026-04-02,Unknown,"1,391","51,517",10:35,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-02T00%3A00%3A00.000Z&destination=FOR&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,ARI,Arica (Titicaca) (NOR),Chile,2026-04-01,Unknown,"1,423","52,710",4:50,3 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-01T00%3A00%3A00.000Z&destination=ARI&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,CGR,Campo Grande,Brazil,2026-04-03,Unknown,"1,429","52,914",15:25,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=CGR&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,THE,Teresina,Brazil,2026-04-03,Unknown,"1,489","55,154",12:25,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=THE&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,CGB,Cuiaba,Brazil,2026-04-03,Unknown,"1,500","55,554",6:40,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-03T00%3A00%3A00.000Z&destination=CGB&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
FLN,COR,Cordoba (NOR),Argentina,2026-04-02,Unknown,"1,522","56,380",10:15,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=FLN&outbound=2026-04-02T00%3A00%3A00.000Z&destination=COR&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
