DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
SAO,RDU,Raleigh/Durham,United States,2026-06-12,2026-06-19,"1,595","59,067",11:40,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-12T00%3A00%3A00.000Z&destination=RDU&inbound=2026-06-19T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,RDU,Raleigh/Durham,United States,2026-06-14,2026-06-21,"1,595","59,067",11:40,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-14T00%3A00%3A00.000Z&destination=RDU&inbound=2026-06-21T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YTO,Toronto,Canada,2026-06-14,2026-06-21,"1,715","63,511",22:50,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-14T00%3A00%3A00.000Z&destination=YTO&inbound=2026-06-21T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YUL,Montreal,Canada,2026-06-14,2026-06-21,"1,715","63,511",11:40,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-14T00%3A00%3A00.000Z&destination=YUL&inbound=2026-06-21T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YTO,Toronto,Canada,2026-06-13,2026-06-20,"1,715","63,511",22:50,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-13T00%3A00%3A00.000Z&destination=YTO&inbound=2026-06-20T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YTZ,Toronto,Canada,2026-06-13,2026-06-20,"1,715","63,511",22:50,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-13T00%3A00%3A00.000Z&destination=YTZ&inbound=2026-06-20T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YYZ,Toronto,Canada,2026-06-13,2026-06-20,"1,715","63,511",11:40,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-13T00%3A00%3A00.000Z&destination=YYZ&inbound=2026-06-20T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YTZ,Toronto,Canada,2026-06-14,2026-06-21,"1,715","63,511",22:50,1 stop,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-14T00%3A00%3A00.000Z&destination=YTZ&inbound=2026-06-21T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,EWR,Newark,United States,2026-06-14,2026-06-21,"1,729","64,037",11:40,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-14T00%3A00%3A00.000Z&destination=EWR&inbound=2026-06-21T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,YTO,Toronto,Canada,2026-06-12,2026-06-19,"1,740","64,458",11:40,2 stops,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-06-12T00%3A00%3A00.000Z&destination=YTO&inbound=2026-06-19T12%3A00%3A00.000Z&adt=1&chd=0&inf=0&trip=RT&cabin=Economy&redemption=true&sort=PRICE%2Casc
