DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
SAO,FORT,FORT,,2026-05-15,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-15T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-16,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-16T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-17,Unknown,1212.54,48.501,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-17T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-18,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-18T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-19,Unknown,1212.54,48.501,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-19T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-20,Unknown,1212.54,48.501,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-20T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-21,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-21T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-22,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-22T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-23,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-23T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-24,Unknown,1212.54,48.501,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-24T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-25,Unknown,1212.54,48.501,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-25T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-26,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-26T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-27,Unknown,1170.04,46.801,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-27T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-28,Unknown,764.54,30.581,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-28T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-29,Unknown,764.54,30.581,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-29T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-30,Unknown,764.54,30.581,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-30T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
SAO,FORT,FORT,,2026-05-31,Unknown,764.54,30.581,12:05,Direto,https://www.latamairlines.com/br/pt/oferta-voos?origin=SAO&outbound=2026-05-31T00%3A00%3A00.000Z&destination=FORT&inbound=null&adt=1&chd=0&inf=0&trip=OW&cabin=Economy&redemption=true&sort=PRICE%2Casc
