DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
SAO,YXY,Whitehorse,Canada,08-Oct-26,12-Oct-26,9339,,,"2 paradas
28h 51 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCTdGfooGYE9AEeoysgrpSVvAEhIJabhBLoyQS0ARdRlZhaxRYsA&hl=pt&curr=BRL
SAO,YMM,Fort McMurray,Canada,08-Oct-26,12-Oct-26,4873,,,"2 paradas
30h 10 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCTdGfooGYE9AEeoysgrpSVvAEhIJabhBLoyQS0ARdRlZhaxRYsA&hl=pt&curr=BRL
SAO,YCB,Cambridge Bay,Canada,08-Oct-26,12-Oct-26,12105,,,"3 paradas
44h",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YIO,Pond Inlet,Canada,08-Oct-26,12-Oct-26,18163,,,"3 paradas
38h 25 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,SEA,Seattle,United States,08-Oct-26,12-Oct-26,3534,,,"1 parada
38h 15 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
SAO,PWM,Portland,United States,08-Oct-26,12-Oct-26,4895,,,"1 parada
16h 56 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
SAO,VIX,Vitória,Brazil,08-Oct-26,12-Oct-26,4350,,,"2 paradas
26h 17 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
SAO,GEG,Spokane,United States,08-Oct-26,12-Oct-26,5207,,,"1 parada
17h 19 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
SAO,BZN,Bozeman,United States,08-Oct-26,12-Oct-26,5207,,,"1 parada
16h 25 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
SAO,MSO,Missoula,United States,08-Oct-26,12-Oct-26,5207,,,"1 parada
16h 12 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
SAO,EUG,Eugene,United States,08-Oct-26,12-Oct-26,5207,,,"1 parada
17h 30 min",https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEwLTA4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzFAAUgBcAGCAQsI____________AZgBArIBAiAB&tfu=GioaKAoSCaHVa0xMjkhAEUFm7YPFjFrAEhIJZtctFt8BRkARQWbtg305X8A&hl=pt&curr=BRL
