DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
MIA,YFB,Iqaluit,Canada,30-Apr,03-May,12240,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YCB,Cambridge Bay,Canada,30-Apr,03-May,14240,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YRT,Rankin Inlet,Canada,30-Apr,03-May,19880,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YTE,Cape Dorset,Canada,30-Apr,03-May,20156,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YXP,Pangnirtung,Canada,30-Apr,03-May,17875,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YHK,Gjoa Haven,Canada,30-Apr,03-May,16631,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YVM,Qikiqtarjuaq,Canada,30-Apr,03-May,17916,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YGT,Igloolik,Canada,30-Apr,03-May,19722,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YCY,Clyde River,Canada,30-Apr,03-May,22290,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
MIA,YYH,Taloyoak,Canada,30-Apr,03-May,17537,,,,https://www.google.com/travel/explore?tfs=CBwQAxojEgoyMDI2LTA0LTMwagcIARIDTUlBcgwIBBIIL20vMDJqNzEaIxIKMjAyNi0wNS0wM2oMCAQSCC9tLzAyajcxcgcIARIDTUlBQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
