DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
SAO,DKR,Dacar,Senegal,18dezz3jann,Unknown,8688,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,VIL,Dakhla,Morocco,18dezz3jann,Unknown,7353,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,BJL,Banjul,Gambia,18dezz3jann,Unknown,12152,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,BKO,Bamako,Mali,18dezz3jann,Unknown,8457,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,OUA,Uagadugu,Burkina Faso,18dezz3jann,Unknown,13704,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,NKC,Nouakchott,Mauritania,18dezz3jann,Unknown,8269,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,KAN,Kano,Nigeria,18dezz3jann,Unknown,12216,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,OXB,Bissau,Guinea-Bissau,18dezz3jann,Unknown,13462,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,NIM,Niamei,Niger,18dezz3jann,Unknown,8727,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeaQmUemYjhAEcyJQeA_BC5AEhIJSUl8IZWEJEARGjvfD6BjNsA&hl=pt&curr=BRL
SAO,MRU,Ilha Maurícia,Mauritius,18dezz3jann,Unknown,14737,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCSkJdcxmwCbAEWFhbgFjFVJAEhIJ_Sy_vKtqOcARw8LcAuZ3QUA&hl=pt&curr=BRL
SAO,TNR,Antananarivo,Madagascar,18dezz3jann,Unknown,9339,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCSkJdcxmwCbAEWFhbgFjFVJAEhIJ_Sy_vKtqOcARw8LcAuZ3QUA&hl=pt&curr=BRL
SAO,NOS,Ilha Nosy Be,Madagascar,18dezz3jann,Unknown,14066,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTEyLTE4ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNy0wMS0wM2oMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCSkJdcxmwCbAEWFhbgFjFVJAEhIJ_Sy_vKtqOcARw8LcAuZ3QUA&hl=pt&curr=BRL
