DE,PARA,CIDADE,PAÍS,DATA_DE_IDA,VOLTA,PREÇO,MILHAS,HORÁRIO,ESCALA,URL
SAO,YFB,Iqaluit,Canada,17abr21abr,Unknown,21895,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YCB,Cambridge Bay,Canada,17abr21abr,Unknown,20355,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YTE,Cape Dorset,Canada,17abr21abr,Unknown,23378,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YXP,Pangnirtung,Canada,17abr21abr,Unknown,25761,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YHK,Gjoa Haven,Canada,17abr21abr,Unknown,22550,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YGT,Igloolik,Canada,17abr21abr,Unknown,27598,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,YYH,Taloyoak,Canada,17abr21abr,Unknown,23372,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCeLdaYhmXlJAEdGsy1IaCEDAEhIJbmK7mYVMT0ARaNZlKe22WsA&hl=pt&curr=BRL
SAO,JNU,Juneau,United States,17abr21abr,Unknown,23427,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCTdGfooGYE9AEeoysgrpSVvAEhIJabhBLoyQS0ARdRlZhaxRYsA&hl=pt&curr=BRL
SAO,SIT,Sitka,United States,17abr21abr,Unknown,15178,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCTdGfooGYE9AEeoysgrpSVvAEhIJabhBLoyQS0ARdRlZhaxRYsA&hl=pt&curr=BRL
SAO,YZF,Yellowknife,Canada,17abr21abr,Unknown,13688,,,,https://www.google.com/travel/explore?tfs=CBwQAxopEgoyMDI2LTA0LTE3ag0IAxIJL20vMDIycGZtcgwIBBIIL20vMDJqNzEaKRIKMjAyNi0wNC0yMWoMCAQSCC9tLzAyajcxcg0IAxIJL20vMDIycGZtQAFIAXABggELCP___________wGYAQGyAQIgAQ&tfu=GioaKAoSCTdGfooGYE9AEeoysgrpSVvAEhIJabhBLoyQS0ARdRlZhaxRYsA&hl=pt&curr=BRL
